DFS
Init		stack				visited
loop1		1				1
2		1 2				1 2
3		1 2 4				1 2 4
4		1 2 4 3				1 2 4 3
5		1 2 4				1 2 4 3
6		1 2 4 6				1 2 4 3 6
7		1 2 4 6 7			1 2 4 3 6 7	
8		1 2 4 6 			1 2 4 3 6 7
9		1 2 4 6 8			1 2 4 3 6 7 8
10		1 2 4 6 8 10 			1 2 4 3 6 7 8 10
11		1 2 4 6 8 10 5			1 2 4 3 6 7 8 10 5
12		1 2 4 6 8 10 5 9		1 2 4 3 6 7 8 10 5 9
13		1 2 4 6 8 10 5 9 13		1 2 4 3 6 7 8 10 5 9 13
14		1 2 4 6 8 10 5 9 13 11		1 2 4 3 6 7 8 10 5 9 13 11
15		1 2 4 6 8 10 5 9 13 11 12	1 2 4 3 6 7 8 10 5 9 13 11 12
16 		1 2 4 6 8 10 5 9 13 11 		1 2 4 3 6 7 8 10 5 9 13 11 12
17 		1 2 4 6 8 10 5 9 13  		1 2 4 3 6 7 8 10 5 9 13 11 12
18		1 2 4 6 8 10 5 9   		1 2 4 3 6 7 8 10 5 9 13 11 12
19		1 2 4 6 8 10 5 9  		1 2 4 3 6 7 8 10 5 9 13 11 12
20		1 2 4 6 8 10 5 			1 2 4 3 6 7 8 10 5 9 13 11 12
21		1 2 4 6 8 10 	 		1 2 4 3 6 7 8 10 5 9 13 11 12
22		1 2 4 6 8	 		1 2 4 3 6 7 8 10 5 9 13 11 12
23		1 2 4 6 	 		1 2 4 3 6 7 8 10 5 9 13 11 12	
24 		1 2 4 		 		1 2 4 3 6 7 8 10 5 9 13 11 12
25		1 2 		 		1 2 4 3 6 7 8 10 5 9 13 11 12
26		1 		 		1 2 4 3 6 7 8 10 5 9 13 11 12
27 		null				1 2 4 3 6 7 8 10 5 9 13 11 12
